target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	21	68.8865
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	8	227.981
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	16	45.4745
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	41	108.419
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	9	71.8141
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	5	23.3998
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	14	123.779
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	23	57.1284
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	4	27.2217
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	1	1.90211
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	6	31.8643
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	19	33.6719
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	23	86.3647
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	17	56.6384
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	14	75.4803
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	7	40.6221
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	8	31.7191
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	0	0
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	4	18.0835
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	4	17.7073
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	5	33.8108
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	8	51.4797
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	16	40.0218
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	4	18.7199
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	3	15.6203
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	11	22.5782
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	15	49.0534
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	0	0
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	2	9.88155
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	8	19.5512
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	25	178.11
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	30	107.708
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	28	127.67
