target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	37	96.7202
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	4	90.8385
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	14	31.7086
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	51	107.471
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	5	31.7935
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	16	59.6711
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	29	204.324
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	29	57.4015
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	3	16.2696
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	4	6.06312
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	3	12.6962
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	34	48.0168
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	27	80.7929
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	23	61.0647
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	20	85.9283
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	3	13.8735
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	11.3999	36.019
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	5	19.7782
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	6	21.616
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	16	56.4434
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	7	37.7211
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	2	10.256
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	20	39.8664
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	4	14.9178
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	7	29.0446
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	4	6.54271
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	18	46.9084
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	4	15.7491
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	6	23.6236
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	7	13.6327
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	28	158.967
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	55	157.358
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	27	98.1056
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	67	201.196
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	37	252.302
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	8	87.7062
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	16	50.5536
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	34	88.878
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	213	660.684
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	9	67.3274
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	1	15.3222
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	0	0
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	29	181.677
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	2	69.6737
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	79	251.483
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	62	167.761
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	11	17.0081
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	31	59.688
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	56	169.364
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	117	476.139
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	57	112.299
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
lcl|NZ_CP030271.1_cds_WP_017140027.1_57	237	6.00353	0	0
lcl|NZ_CP030271.1_cds_WP_011336775.1_58	360	61.0822	0	0
lcl|NZ_CP030271.1_cds_WP_017140028.1_59	2334	2035	90	112.488
lcl|NZ_CP030271.1_cds_WP_011336778.1_60	606	307	14	115.989
