target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	945	212.921
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	93	182.039
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	300	58.5653
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	352	63.9343
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	150	82.211
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	136	43.7173
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	163	98.9872
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	210	35.8274
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	21	9.81624
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	64	8.36155
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	64	23.3456
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	186	22.6411
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	407	104.972
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	124	28.3763
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	76	28.1443
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	35	13.951
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	43.8179	11.9331
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	23	7.8418
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	53	16.4577
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	185	56.2517
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	97	45.0535
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	34	15.0278
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	141	24.2252
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	37	11.8937
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	25	8.94084
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	74	10.4328
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	161	36.1639
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	36	12.2171
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	30	10.1809
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	78	13.0933
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	397	194.273
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	601	148.208
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	300	93.9555
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	568	147.016
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	426	250.38
