target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	1830	892.014
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	77	326.066
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	410	173.156
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	311	122.204
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	36	42.6851
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	34	23.6444
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	109	143.203
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	419	154.648
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	14	14.1576
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	41	11.5884
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	39	30.7768
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	123	32.391
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	91	50.7757
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	51	25.2486
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	23	18.4264
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	14	12.0725
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	14.1467	8.33473
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	12	8.85123
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	12	8.06139
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	119	78.279
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	37	37.1786
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	7	6.69344
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	38	14.1243
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	14	9.73592
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	8	6.1896
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	40	12.2001
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	66	32.0721
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	14	10.2785
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	5	3.67089
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	51	18.5208
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	61	64.5781
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	102	54.4166
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	16	10.8406
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	45	25.1978
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	150	190.729
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	28	57.2405
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	191	112.531
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	43	20.9599
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	221	127.824
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	13	18.1342
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	4	11.4284
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	7	241.689
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	230	268.68
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	15	97.4396
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	707	419.668
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	903	455.61
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	90	25.9484
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	35	12.566
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	12	6.76735
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	27	20.4888
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	80	29.3898
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
lcl|NZ_CP030271.1_cds_WP_017140027.1_57	237	6.00353	0	0
lcl|NZ_CP030271.1_cds_WP_011336775.1_58	360	61.0822	16	124.233
lcl|NZ_CP030271.1_cds_WP_017140028.1_59	2334	2035	138	32.1624
lcl|NZ_CP030271.1_cds_WP_011336778.1_60	606	307	155	239.457
lcl|NZ_CP030271.1_cds_WP_002722157.1_61	348	49.4247	10	95.9598
lcl|NZ_CP030271.1_cds_WP_011336779.1_62	744	445	62	66.0792
lcl|NZ_CP030271.1_cds_WP_011336780.1_63	915	616	2870	2209.71
lcl|NZ_CP030271.1_cds_WP_029534491.1_64	645	346	967	1325.51
