target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	111	104.309
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	5	40.8193
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	28	22.7977
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	163	123.479
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	33	75.434
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	23	30.8359
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	68	172.232
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	56	39.8472
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	1	1.94958
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	12	6.53886
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	20	30.4277
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	43	21.8307
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	62	66.6939
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	48	45.813
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	60	92.6707
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	11	18.287
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	19.7026	22.379
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	4	5.68803
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	10	12.9512
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	20	25.3634
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	19	36.8065
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	8	14.7476
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	44	31.5294
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	14	18.7697
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	10	14.916
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	10	5.88007
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	32	29.9787
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	7	9.90783
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	7	9.90783
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	12	8.40139
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	148	302.062
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	130	133.707
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	87	113.641
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	155	167.325
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	95	232.878
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	24	94.5881
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	39	44.2978
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	116	109.008
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	692	771.623
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	22	59.1639
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	0	0
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	5	332.819
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	111	249.983
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	11	137.758
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	214	244.895
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	156	151.743
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	43	23.901
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	94	65.0636
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	141	153.298
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	443	648.092
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	153	108.362
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
lcl|NZ_CP030271.1_cds_WP_017140027.1_57	237	6.00353	0	0
lcl|NZ_CP030271.1_cds_WP_011336775.1_58	360	61.0822	6	89.8151
lcl|NZ_CP030271.1_cds_WP_017140028.1_59	2334	2035	134	60.2079
lcl|NZ_CP030271.1_cds_WP_011336778.1_60	606	307	41	122.112
lcl|NZ_CP030271.1_cds_WP_002722157.1_61	348	49.4247	1	18.4999
lcl|NZ_CP030271.1_cds_WP_011336779.1_62	744	445	16	32.8755
lcl|NZ_CP030271.1_cds_WP_011336780.1_63	915	616	272	403.74
lcl|NZ_CP030271.1_cds_WP_029534491.1_64	645	346	122	322.401
lcl|NZ_CP030271.1_cds_WP_002722161.1_65	180	3.70659	0	0
