target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	774	204.489
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	59	135.418
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	254	58.1427
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	315	67.088
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	129	82.9032
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	92	34.6773
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	141	100.405
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	184	36.8092
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	12	6.57734
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	54	8.27263
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	59	25.2359
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	147	20.9819
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	356	107.665
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	100	26.8334
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	64	27.7907
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	33	15.4239
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	43.6191	13.9291
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	21	8.39556
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	53	19.298
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	125	44.5673
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	67	36.49
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	23	11.9203
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	101	20.3476
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	39	14.7002
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	26	10.9032
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	53	8.76167
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	151	39.7712
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	28	11.1421
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	21	8.35658
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	79	15.5498
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	305	175.01
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	434	125.496
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	269	98.7861
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	455	138.092
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	370	254.997
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	115	127.424
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	148	47.2615
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	278	73.4469
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	1830	573.692
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	52	39.3157
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	4	6.19432
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	3	56.142
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	239	151.326
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	34	119.71
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	914	294.063
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	799	218.505
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	346	54.0694
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	578	112.478
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	324	99.0354
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	896	368.527
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	945	188.169
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
