target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	6960	1102.72
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	175	240.874
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	1171	160.748
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	901	115.076
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	87	33.5296
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	88	19.8915
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	305	130.245
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	1141	136.884
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	40	13.1479
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	97	8.91146
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	133	34.1151
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	376	32.1842
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	194	35.1845
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	123	19.7929
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	89	23.1759
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	43	12.0524
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	31.3636	6.00619
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	38	9.11049
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	23	5.02218
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	540	115.459
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	55	17.9634
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	23	7.1485
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	104	12.5647
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	32	7.23327
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	40	10.0593
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	104	10.3103
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	127	20.0596
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	29	6.92045
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	18	4.29545
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	171	20.1847
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	142	48.8629
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	206	35.7219
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	51	11.2316
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	85	15.4705
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	531	219.46
