target_id	length	eff_length	est_counts	tpm
lcl|NZ_CP030271.1_cds_WP_147175754.1_1	1272	973	228	298.788
lcl|NZ_CP030271.1_cds_WP_011336730.1_2	411	112	11	125.232
lcl|NZ_CP030271.1_cds_WP_011336731.1_3	1422	1123	62	70.3967
lcl|NZ_CP030271.1_cds_WP_011336732.1_4	1506	1207	77	81.3437
lcl|NZ_CP030271.1_cds_WP_011336734.1_5	699	400	33	105.195
lcl|NZ_CP030271.1_cds_WP_011336735.1_6	981	682	19	35.523
lcl|NZ_CP030271.1_cds_WP_011336736.1_7	660	361	25	88.3025
lcl|NZ_CP030271.1_cds_WP_011336737.1_8	1584	1285	32	31.7532
lcl|NZ_CP030271.1_cds_WP_011336738.1_9	768	469	2	5.43748
lcl|NZ_CP030271.1_cds_WP_011336739.1_10	1977	1678	14	10.6384
lcl|NZ_CP030271.1_cds_WP_011336740.1_11	900	601	5	10.6081
lcl|NZ_CP030271.1_cds_WP_011336741.1_12	2100	1801	48	33.9835
lcl|NZ_CP030271.1_cds_WP_011336742.1_13	1149	850	58	87.0061
lcl|NZ_CP030271.1_cds_WP_011336743.1_14	1257	958	26	34.6058
lcl|NZ_CP030271.1_cds_WP_002722079.1_15	891	592	15	32.308
lcl|NZ_CP030271.1_cds_WP_002722082.1_16	849	550	5	11.5917
lcl|NZ_CP030271.1_cds_WP_011336745.1_17	1104	805	6.21685	9.84724
lcl|NZ_CP030271.1_cds_WP_011336746.1_18	942	643	1	1.98303
lcl|NZ_CP030271.1_cds_WP_011336747.1_19	1005	706	11	19.8668
lcl|NZ_CP030271.1_cds_WP_011336748.1_20	1020	721	30	53.055
lcl|NZ_CP030271.1_cds_WP_011336749.1_21	771	472	15	40.5219
lcl|NZ_CP030271.1_cds_WP_011336750.1_22	795	496	5	12.8537
lcl|NZ_CP030271.1_cds_WP_009562511.1_23	1575	1276	22	21.9843
lcl|NZ_CP030271.1_cds_WP_002722098.1_24	981	682	6	11.2178
lcl|NZ_CP030271.1_cds_WP_011336751.1_25	912	613	4	8.32032
lcl|NZ_CP030271.1_cds_WP_011336752.1_26	1854	1555	14	11.4799
lcl|NZ_CP030271.1_cds_WP_011336753.1_27	1275	976	25	32.6611
lcl|NZ_CP030271.1_cds_WP_011336754.1_28	945	646	11	21.712
lcl|NZ_CP030271.1_cds_WP_011336755.1_29	945	646	7	13.8168
lcl|NZ_CP030271.1_cds_WP_017140025.1_30	186	3.85692	0	0
lcl|NZ_CP030271.1_cds_WP_011336756.1_31	1605	1306	12	11.716
lcl|NZ_CP030271.1_cds_WP_002722114.1_32	273	9.8295	0	0
lcl|NZ_CP030271.1_cds_WP_002722115.1_33	747	448	72	204.925
lcl|NZ_CP030271.1_cds_WP_002722116.1_34	246	6.66748	0	0
lcl|NZ_CP030271.1_cds_WP_011336757.1_35	1188	889	96	137.692
lcl|NZ_CP030271.1_cds_WP_011336758.1_36	999	700	40	72.8622
lcl|NZ_CP030271.1_cds_WP_011336759.1_37	1146	847	99	149.036
lcl|NZ_CP030271.1_cds_WP_011840178.1_38	672	373	76	259.804
lcl|NZ_CP030271.1_cds_WP_011336761.1_39	531	232	21	115.418
lcl|NZ_CP030271.1_cds_WP_011336762.1_40	1104	805	26	41.183
lcl|NZ_CP030271.1_cds_WP_011336763.1_41	1272	973	63	82.5597
lcl|NZ_CP030271.1_cds_WP_002722128.1_42	1119	820	346	538.025
lcl|NZ_CP030271.1_cds_WP_002722129.1_43	639	340	16	60.0042
lcl|NZ_CP030271.1_cds_WP_011336764.1_44	465	166	0	0
lcl|NZ_CP030271.1_cds_WP_002722131.1_45	291	13.7365	2	185.65
lcl|NZ_CP030271.1_cds_WP_011336766.1_46	705	406	51	160.171
lcl|NZ_CP030271.1_cds_WP_011336767.1_47	372	73.0112	6	104.786
lcl|NZ_CP030271.1_cds_WP_011336768.1_48	1098	799	211	336.726
lcl|NZ_CP030271.1_cds_WP_011336769.1_49	1239	940	158	214.323
lcl|NZ_CP030271.1_cds_WP_011336770.1_50	1944	1645	78	60.4601
lcl|NZ_CP030271.1_cds_WP_011336771.1_51	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336772.1_52	1620	1321	107	103.281
lcl|NZ_CP030271.1_cds_WP_002722143.1_53	1140	841	73	110.68
lcl|NZ_CP030271.1_cds_WP_011336773.1_54	924	625	137	279.499
lcl|NZ_CP030271.1_cds_WP_011336774.1_55	1590	1291	147	145.188
lcl|NZ_CP030271.1_cds_56	57	2.178	0	0
lcl|NZ_CP030271.1_cds_WP_017140027.1_57	237	6.00353	0	0
lcl|NZ_CP030271.1_cds_WP_011336775.1_58	360	61.0822	8	167
lcl|NZ_CP030271.1_cds_WP_017140028.1_59	2334	2035	126	78.949
lcl|NZ_CP030271.1_cds_WP_011336778.1_60	606	307	46	191.056
lcl|NZ_CP030271.1_cds_WP_002722157.1_61	348	49.4247	2	51.5972
lcl|NZ_CP030271.1_cds_WP_011336779.1_62	744	445	7	20.0576
lcl|NZ_CP030271.1_cds_WP_011336780.1_63	915	616	229	474.018
lcl|NZ_CP030271.1_cds_WP_029534491.1_64	645	346	130	479.08
lcl|NZ_CP030271.1_cds_WP_002722161.1_65	180	3.70659	0	0
lcl|NZ_CP030271.1_cds_WP_011336782.1_66	1230	931	466	638.229
lcl|NZ_CP030271.1_cds_WP_017140029.1_67	1326	1027	97	120.432
lcl|NZ_CP030271.1_cds_WP_011336784.1_68	1179	880	222	321.67
lcl|NZ_CP030271.1_cds_WP_011336785.1_69	3285	2986	925	394.996
lcl|NZ_CP030271.1_cds_WP_011336786.1_70	639	340	145	543.788
lcl|NZ_CP030271.1_cds_WP_002722170.1_71	582	283	45	202.753
lcl|NZ_CP030271.1_cds_WP_002722172.1_72	327	31.3862	49	1990.66
lcl|NZ_CP030271.1_cds_WP_011336788.1_73	1578	1279	107	106.673
